PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745892,518397,BULLPEN,0,1,0,0,1,0,0,2
2024,745891,683155,STARTER,8,8,6,2,1,1,2,18
2024,745891,519008,BULLPEN,3,0,0,0,1,0,1,4
2024,745891,668674,BULLPEN,4,2,0,0,0,0,2,5
2024,745891,518397,BULLPEN,2,1,1,0,1,0,0,4
2024,745891,613534,BULLPEN,4,1,0,0,0,0,1,5
2024,745891,666204,BULLPEN,3,2,1,1,0,0,1,5
2024,745895,676664,STARTER,13,9,4,3,4,0,1,26
2024,745895,657697,BULLPEN,5,0,0,0,1,0,0,5
2024,745895,669620,BULLPEN,6,3,2,1,0,0,2,8
2024,745650,663687,STARTER,15,4,1,1,2,0,3,22
2024,745650,657697,BULLPEN,3,0,0,0,0,0,1,3
2024,745650,613534,BULLPEN,3,1,0,0,0,0,2,4
2024,745650,668674,BULLPEN,2,2,2,0,1,0,0,5
2024,745650,518397,BULLPEN,1,0,0,0,0,0,0,1
2024,745650,695243,BULLPEN,3,0,0,0,0,0,1,3
2024,745646,665622,STARTER,17,6,1,0,2,0,3,24
2024,745646,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,745646,666204,BULLPEN,3,1,0,0,0,0,0,3
2024,745646,613534,BULLPEN,3,1,0,0,0,0,2,4
2024,745646,695243,BULLPEN,3,0,0,0,1,0,2,4
2024,745645,687765,STARTER,18,6,2,2,1,0,7,25
2024,745645,657697,BULLPEN,6,1,1,1,0,0,2,7
2024,745645,519008,BULLPEN,3,0,0,0,0,0,0,3
2024,745649,683155,STARTER,18,5,2,1,1,0,1,24
2024,745649,613534,BULLPEN,1,2,3,1,2,0,0,5
2024,745649,668674,BULLPEN,4,3,0,0,0,0,1,7
2024,745649,656794,BULLPEN,1,0,0,0,0,0,0,0
2024,745649,695243,BULLPEN,3,0,0,0,0,0,1,3
2024,745644,676664,STARTER,4,9,8,1,0,3,1,16
2024,745644,674370,BULLPEN,15,5,2,0,3,1,6,24
2024,745644,519008,BULLPEN,2,0,0,0,1,0,0,2
2024,745644,656794,BULLPEN,6,2,0,0,0,0,2,8
2024,745648,663687,STARTER,18,5,3,1,2,1,2,25
2024,745648,613534,BULLPEN,3,0,0,0,0,0,1,2
2024,745648,668674,BULLPEN,3,0,0,0,0,0,2,3
2024,745648,518397,BULLPEN,3,1,0,0,0,0,1,3
2024,746218,665622,STARTER,9,5,4,1,2,1,4,17
2024,746218,605156,BULLPEN,15,4,1,0,2,0,2,19
2024,746213,687765,STARTER,16,8,6,1,1,1,6,26
2024,746213,519008,BULLPEN,2,0,0,0,0,0,0,2
2024,746213,656794,BULLPEN,4,1,1,1,2,0,1,6
2024,746213,518397,BULLPEN,2,0,0,0,1,0,0,3
2024,746212,683155,STARTER,17,3,2,0,2,1,8,23
2024,746212,613534,BULLPEN,0,1,3,0,1,1,0,3
2024,746212,519008,BULLPEN,1,1,0,0,0,0,1,2
2024,746212,668674,BULLPEN,3,1,0,0,0,0,1,4
2024,746212,695243,BULLPEN,3,1,0,0,0,0,2,4
2024,747183,676664,STARTER,18,5,3,1,1,0,6,24
2024,747183,518397,BULLPEN,3,1,1,0,1,0,0,5
2024,747183,668674,BULLPEN,2,1,0,0,0,1,0,4
2024,747183,519008,BULLPEN,1,0,0,0,0,0,1,1
2024,747183,695243,BULLPEN,3,0,0,0,0,0,2,3
2024,747186,663687,STARTER,10,10,3,0,1,0,3,21
2024,747186,674370,BULLPEN,14,2,0,0,3,1,2,18
2024,747182,665622,STARTER,18,4,1,0,3,0,5,25
2024,747182,519008,BULLPEN,1,1,3,0,1,1,0,4
2024,747182,613534,BULLPEN,2,2,0,0,0,1,0,4
2024,747182,656794,BULLPEN,3,1,1,0,2,0,0,5
2024,745647,687765,STARTER,16,6,1,0,1,0,5,23
2024,745647,621053,BULLPEN,3,1,2,0,1,0,1,4
2024,745647,518397,BULLPEN,2,1,0,0,0,0,0,2
2024,745647,668674,BULLPEN,3,1,0,0,0,0,1,4
2024,745647,695243,BULLPEN,3,2,2,0,1,0,2,6
2024,745643,683155,STARTER,27,5,0,0,1,0,4,30
2024,745641,676664,STARTER,15,2,0,0,1,2,6,20
2024,745641,674370,BULLPEN,3,0,0,0,1,1,0,5
2024,745641,613534,BULLPEN,3,1,0,0,0,0,2,4
2024,745641,668674,BULLPEN,3,1,0,0,0,0,1,4
2024,745641,621053,BULLPEN,3,0,0,0,0,0,2,3
2024,745639,663687,STARTER,15,5,2,0,3,0,4,22
2024,745639,621053,BULLPEN,3,1,0,0,0,0,0,4
2024,745639,519008,BULLPEN,3,0,0,0,0,0,0,4
2024,745639,613534,BULLPEN,3,0,0,0,0,0,0,3
2024,745639,518397,BULLPEN,3,2,0,0,1,0,1,6
2024,745642,665622,STARTER,15,6,1,0,3,0,3,22
2024,745642,672552,BULLPEN,8,7,5,1,2,0,3,17
2024,745642,519008,BULLPEN,4,3,2,1,0,0,2,7
2024,745637,687765,STARTER,18,7,4,2,1,0,5,27
2024,745637,518397,BULLPEN,3,0,0,0,0,0,0,3
2024,745637,668674,BULLPEN,3,0,0,0,0,0,1,3
2024,745637,674370,BULLPEN,3,1,1,0,2,0,1,6
2024,746937,683155,STARTER,5,7,8,0,1,1,1,14
2024,746937,621053,BULLPEN,7,5,3,2,0,0,2,12
2024,746937,671305,BULLPEN,5,0,0,0,3,0,4,8
2024,746937,518397,BULLPEN,4,1,0,0,0,0,2,5
2024,746937,613534,BULLPEN,3,0,1,0,1,2,1,6
2024,746934,676664,STARTER,17,4,1,1,2,0,8,23
2024,746934,613534,BULLPEN,1,0,0,0,0,0,1,1
2024,746934,519008,BULLPEN,2,2,1,0,0,0,0,4
2024,746934,668674,BULLPEN,4,1,0,0,1,0,1,6
2024,746934,695243,BULLPEN,3,1,0,0,0,0,2,4
2024,746935,665622,STARTER,15,7,6,2,2,0,7,23
2024,746935,666205,BULLPEN,6,2,1,1,0,0,4,7
2024,746935,671305,BULLPEN,3,1,0,0,0,0,2,4
2024,745552,663687,STARTER,9,3,2,0,6,0,0,15
2024,745552,674370,BULLPEN,9,1,0,0,0,0,2,9
2024,745552,518397,BULLPEN,3,0,0,0,0,0,0,3
2024,745552,519008,BULLPEN,2,0,0,0,1,0,2,3
2024,745552,668674,BULLPEN,1,1,0,0,0,0,0,2
2024,745552,695243,BULLPEN,3,1,0,0,0,0,2,4
2024,745549,687765,STARTER,11,5,6,3,5,0,6,21
2024,745549,621053,BULLPEN,4,0,0,0,1,0,3,5
2024,745549,518397,BULLPEN,3,0,0,0,0,0,0,3
2024,745549,613534,BULLPEN,3,1,1,1,1,0,2,5
2024,745549,671305,BULLPEN,1,1,3,0,1,1,0,4
2024,745549,519008,BULLPEN,2,2,1,0,1,0,1,5
2024,745551,683155,STARTER,18,4,2,1,1,1,5,24
2024,745551,519008,BULLPEN,3,0,0,0,0,0,0,3
2024,745551,621053,BULLPEN,3,0,0,0,0,0,1,3
2024,745551,666205,BULLPEN,3,0,0,0,0,0,1,3
2024,745640,676664,STARTER,17,9,2,2,0,0,4,24
2024,745640,613534,BULLPEN,1,0,0,0,1,0,0,2
2024,745640,621053,BULLPEN,3,0,0,0,1,0,2,4
2024,745640,674370,BULLPEN,3,0,0,0,0,0,1,3
2024,745640,671305,BULLPEN,3,0,0,0,0,0,1,3
2024,745638,687765,STARTER,16,5,2,0,3,0,3,24
2024,745638,518397,BULLPEN,2,0,0,0,0,0,0,2
2024,745638,613534,BULLPEN,3,0,0,0,1,0,1,4
2024,745638,621053,BULLPEN,6,1,0,0,0,0,2,7
2024,745633,683155,STARTER,17,8,2,1,2,1,4,26
2024,745633,519008,BULLPEN,4,1,0,0,0,0,0,5
2024,745633,668674,BULLPEN,0,2,4,0,1,1,0,4
2024,745633,518397,BULLPEN,1,2,1,0,0,0,0,3
2024,745633,671305,BULLPEN,5,2,1,0,1,0,5,8
2024,745635,663687,STARTER,20,7,0,0,2,0,7,27
2024,745635,613534,BULLPEN,1,1,0,0,0,0,1,2
2024,745635,668674,BULLPEN,3,0,0,0,0,0,1,3
2024,745635,695243,BULLPEN,3,0,0,0,0,0,0,3
2024,745632,674370,STARTER,15,4,1,1,0,1,6,19
2024,745632,518397,BULLPEN,3,1,0,0,0,0,0,4
2024,745632,621053,BULLPEN,3,1,0,0,0,0,1,4
2024,745632,671305,BULLPEN,3,0,0,0,0,0,2,3
2024,745632,519008,BULLPEN,3,3,1,1,0,0,0,6
2024,745634,676664,STARTER,18,9,7,1,0,2,3,29
2024,745634,666205,BULLPEN,9,2,0,0,1,0,3,11
2024,746199,548389,STARTER,17,6,5,0,2,0,3,24
2024,746199,518397,BULLPEN,1,0,0,0,0,0,1,1
