DATE,GAME_PK,RS_GAMELOG,PERIOD
2026-05-13,824841,0,2026_CUTOFF
2026-05-15,823629,5,2026_CUTOFF
2026-05-16,823627,3,2026_CUTOFF
2026-05-17,823628,6,2026_CUTOFF
2026-05-18,823549,7,2026_CUTOFF
2026-05-19,823548,5,2026_CUTOFF
2026-05-20,823547,1,2026_CUTOFF
2026-05-21,823545,0,2026_CUTOFF
2026-05-22,823546,2,2026_CUTOFF
2026-05-24,823544,2,2026_CUTOFF
2026-05-25,824107,4,2026_CUTOFF
2026-05-26,824106,15,2026_CUTOFF
2026-05-27,824104,7,2026_CUTOFF
2026-05-29,825002,8,2026_CUTOFF
2026-05-30,825000,4,2026_CUTOFF
2026-05-31,825001,13,2026_CUTOFF
2026-06-02,823541,4,2026_CUTOFF
2026-06-03,823540,4,2026_CUTOFF
2026-06-04,823542,2,2026_CUTOFF
2026-06-05,823538,3,2026_CUTOFF
2026-06-07,823537,6,2026_CUTOFF
2026-06-08,824427,7,2026_CUTOFF
2026-06-09,824429,3,2026_CUTOFF
2026-06-10,824428,8,2026_CUTOFF
2026-06-12,822803,5,2026_CUTOFF
2026-06-13,822802,3,2026_CUTOFF
2026-06-14,822801,8,2026_CUTOFF
2026-06-16,823535,12,2026_CUTOFF
2026-06-17,823536,10,2026_CUTOFF
2026-06-18,823533,1,2026_CUTOFF
2026-06-19,823534,5,2026_CUTOFF
2026-06-20,823532,2,2026_CUTOFF
2026-06-21,823531,1,2026_CUTOFF
2026-06-22,824261,3,2026_CUTOFF
2026-06-23,824262,4,2026_CUTOFF
2026-06-24,824259,4,2026_CUTOFF
2026-06-25,824747,3,2026_CUTOFF
2026-06-26,824743,1,2026_CUTOFF
2026-06-27,824745,1,2026_CUTOFF
2026-06-28,824744,4,2026_CUTOFF
2026-06-29,823529,3,2026_CUTOFF
2026-06-30,823528,3,2026_CUTOFF
2026-07-01,823530,2,2026_CUTOFF
2026-07-03,823527,5,2026_CUTOFF
2026-07-04,823526,4,2026_CUTOFF
2026-07-05,823525,1,2026_CUTOFF
2026-07-06,822958,5,2026_CUTOFF
2026-07-07,822956,4,2026_CUTOFF
2026-07-08,822957,0,2026_CUTOFF
2026-07-09,822954,12,2026_CUTOFF
2026-07-10,822709,5,2026_CUTOFF
2026-07-11,822711,4,2026_CUTOFF
2026-07-12,822708,5,2026_CUTOFF
2026-07-17,823524,1,2026_CUTOFF
2026-07-19,823521,2,2026_CUTOFF
2026-07-19,823523,2,2026_CUTOFF
2026-07-20,823522,8,2026_CUTOFF
2026-07-22,823518,3,2026_CUTOFF
2026-07-22,823519,2,2026_CUTOFF
