BATTER_ID,BATTER,ZONE,PITCHES,PA,BBE,SWING_PCT,CHASE_PCT,CONTACT_PCT,WHIFF_PCT,EV,HARD_HIT_PCT,BARREL_PCT,WOBA,XWOBA,STABILITY
677800,Wilyer Abreu,LOW_OUT,399,123,123,47.61904761904761,35.53719008264463,70.0,30.0,81.12357723577234,22.76422764227642,2.4390243902439024,0.25,0.2695417295081967,STABLE
677800,Wilyer Abreu,MID_IN,128,55,77,69.53125,43.47826086956522,92.13483146067416,7.865168539325842,83.83766233766234,23.376623376623375,7.792207792207792,0.37999999999999995,0.3802728545454545,STABLE
677800,Wilyer Abreu,MID_OUT,228,59,92,52.19298245614035,24.615384615384617,86.5546218487395,13.445378151260504,84.94782608695652,29.347826086956523,7.608695652173914,0.30593220338983046,0.37354261016949153,STABLE
575929,Willson Contreras,HIGH_IN,240,56,70,41.66666666666667,22.22222222222222,77.0,23.0,70.77285714285713,7.142857142857142,1.4285714285714286,0.3875,0.39376708928571424,STABLE
575929,Willson Contreras,HIGH_OUT,245,54,58,40.0,20.97902097902098,68.36734693877551,31.63265306122449,87.69827586206897,32.758620689655174,10.344827586206897,0.43981481481481477,0.4233901851851851,STABLE
575929,Willson Contreras,LOW_IN,242,54,54,38.429752066115704,30.263157894736842,68.81720430107528,31.182795698924732,88.90185185185189,38.88888888888889,9.25925925925926,0.4726415094339622,0.4518315094339623,STABLE
575929,Willson Contreras,LOW_OUT,464,127,129,54.310344827586206,45.1219512195122,57.936507936507944,42.06349206349206,86.48992248062017,38.759689922480625,10.077519379844961,0.39285714285714285,0.34303996031746026,STABLE
575929,Willson Contreras,MID_IN,144,43,64,56.25,17.24137931034483,86.41975308641975,13.580246913580247,79.234375,23.4375,0.0,0.3202380952380952,0.2312147857142857,STABLE
575929,Willson Contreras,MID_OUT,166,54,90,66.26506024096386,47.91666666666667,90.0,10.0,87.24666666666667,37.77777777777778,11.11111111111111,0.5231481481481481,0.5495928518518519,STABLE
807799,Masataka Yoshida,HIGH_IN,123,49,70,60.97560975609756,46.03174603174603,97.33333333333334,2.666666666666667,82.69,25.71428571428571,2.857142857142857,0.21836734693877552,0.3074084897959184,STABLE
807799,Masataka Yoshida,HIGH_OUT,212,37,56,31.60377358490566,18.97810218978102,86.56716417910447,13.432835820895523,84.3892857142857,17.857142857142858,1.7857142857142856,0.3716216216216216,0.3164067297297298,STABLE
807799,Masataka Yoshida,LOW_IN,157,38,35,35.6687898089172,33.33333333333333,73.21428571428571,26.785714285714285,85.47428571428573,42.857142857142854,5.714285714285714,0.39342105263157895,0.38863278947368424,STABLE
807799,Masataka Yoshida,LOW_OUT,141,40,45,44.680851063829785,33.33333333333333,73.01587301587301,26.984126984126984,82.06222222222222,22.22222222222222,0.0,0.20625,0.222650175,STABLE
807799,Masataka Yoshida,MID_IN,56,20,30,53.57142857142857,50.0,100.0,0.0,86.32333333333332,23.333333333333332,0.0,0.42250000000000004,0.39990000000000003,LIMITED
807799,Masataka Yoshida,MID_OUT,110,38,45,45.45454545454545,17.647058823529413,96.0,4.0,87.87333333333332,37.77777777777778,0.0,0.4618421052631579,0.34000018421052636,STABLE
702332,Caleb Durbin,HIGH_IN,217,65,98,53.45622119815668,36.607142857142854,88.79310344827587,11.206896551724139,77.17040816326531,19.387755102040817,3.061224489795918,0.40846153846153843,0.338507676923077,STABLE
702332,Caleb Durbin,HIGH_OUT,240,55,91,44.583333333333336,22.950819672131146,93.45794392523365,6.5420560747663545,80.3054945054945,16.483516483516482,1.098901098901099,0.33518518518518514,0.32783385185185177,STABLE
702332,Caleb Durbin,LOW_IN,164,44,55,46.95121951219512,28.08988764044944,79.22077922077922,20.77922077922078,83.23636363636362,25.454545454545453,5.454545454545454,0.4761363636363637,0.32152329545454544,STABLE
702332,Caleb Durbin,LOW_OUT,345,85,76,34.78260869565217,23.660714285714285,72.5,27.500000000000004,77.53157894736842,22.36842105263158,0.0,0.23192771084337346,0.24861521686746987,STABLE
702332,Caleb Durbin,MID_IN,119,51,70,63.86554621848739,50.0,98.68421052631578,1.3157894736842104,81.20714285714284,21.428571428571427,0.0,0.19700000000000004,0.26460017999999996,STABLE
702332,Caleb Durbin,MID_OUT,168,46,77,54.761904761904766,34.883720930232556,88.04347826086956,11.956521739130435,80.75324675324676,12.987012987012985,0.0,0.28913043478260875,0.2320436304347826,STABLE
680776,Jarren Duran,HIGH_IN,212,63,75,59.905660377358494,43.51851851851852,64.56692913385827,35.43307086614173,76.99733333333333,10.666666666666668,5.333333333333334,0.3330645161290323,0.30572617741935487,STABLE
680776,Jarren Duran,HIGH_OUT,284,49,42,35.91549295774648,23.42857142857143,50.0,50.0,82.82619047619048,26.190476190476193,11.904761904761903,0.324468085106383,0.33500163829787233,STABLE
680776,Jarren Duran,LOW_IN,338,84,72,44.37869822485207,36.81818181818181,59.333333333333336,40.666666666666664,88.53333333333333,37.5,4.166666666666666,0.18109756097560975,0.24941479268292685,STABLE
680776,Jarren Duran,LOW_OUT,342,100,91,48.83040935672515,37.19806763285024,62.874251497005986,37.12574850299401,79.85494505494506,23.076923076923077,3.296703296703297,0.21020408163265308,0.20878600000000003,STABLE
680776,Jarren Duran,MID_IN,133,55,84,68.42105263157895,32.25806451612903,95.6043956043956,4.395604395604396,83.78571428571428,29.761904761904763,7.142857142857142,0.3925925925925926,0.401778037037037,STABLE
680776,Jarren Duran,MID_OUT,200,56,81,52.5,30.508474576271187,87.61904761904762,12.380952380952381,85.87037037037035,28.39506172839506,7.4074074074074066,0.25625,0.397500375,STABLE
655316,Andruw Monasterio,HIGH_IN,111,25,45,51.35135135135135,29.166666666666668,89.47368421052632,10.526315789473683,78.27555555555557,11.11111111111111,0.0,0.27799999999999997,0.25628056,STABLE
655316,Andruw Monasterio,HIGH_OUT,149,32,49,46.308724832214764,34.146341463414636,78.26086956521739,21.73913043478261,80.60612244897959,14.285714285714285,4.081632653061225,0.1453125,0.19081271875,STABLE
655316,Andruw Monasterio,LOW_IN,144,25,45,38.19444444444444,21.686746987951807,85.45454545454545,14.545454545454545,84.70888888888891,33.33333333333333,6.666666666666667,0.6240000000000001,0.51912112,STABLE
655316,Andruw Monasterio,LOW_OUT,185,41,48,38.91891891891892,27.11864406779661,76.38888888888889,23.61111111111111,77.73333333333333,25.0,4.166666666666666,0.22195121951219512,0.2858541707317073,STABLE
655316,Andruw Monasterio,MID_IN,84,30,46,65.47619047619048,26.31578947368421,94.54545454545455,5.454545454545454,81.36086956521739,23.91304347826087,4.3478260869565215,0.45689655172413796,0.34234531034482757,LIMITED
655316,Andruw Monasterio,MID_OUT,101,27,46,57.42574257425742,14.285714285714285,82.75862068965517,17.24137931034483,82.69999999999999,13.043478260869565,6.521739130434782,0.3333333333333333,0.309741,STABLE
657136,Connor Wong,HIGH_IN,95,23,34,37.89473684210527,18.867924528301888,97.22222222222221,2.7777777777777777,73.9470588235294,14.705882352941178,0.0,0.4071428571428572,0.3685240952380952,LIMITED
657136,Connor Wong,HIGH_OUT,99,24,34,43.43434343434344,29.82456140350877,88.37209302325581,11.627906976744185,85.76176470588236,26.47058823529412,5.88235294117647,0.3956521739130435,0.40030556521739136,LIMITED
657136,Connor Wong,LOW_IN,74,17,22,40.54054054054054,24.444444444444443,76.66666666666667,23.333333333333332,81.02727272727275,22.727272727272727,4.545454545454546,0.37058823529411766,0.37735264705882354,LIMITED
657136,Connor Wong,LOW_OUT,148,35,27,44.5945945945946,35.714285714285715,43.93939393939394,56.060606060606055,83.72962962962966,33.33333333333333,0.0,0.19285714285714287,0.2240865142857143,STABLE
657136,Connor Wong,MID_IN,47,11,26,61.702127659574465,20.0,96.55172413793103,3.4482758620689653,75.2923076923077,15.384615384615385,0.0,0.5045454545454545,0.313637,LIMITED
657136,Connor Wong,MID_OUT,87,36,36,54.02298850574713,39.39393939393939,82.97872340425532,17.02127659574468,82.22777777777776,25.0,2.7777777777777777,0.35285714285714287,0.2701148857142857,LIMITED
